peak,chr,start,end,summit,category,location
peak_8,1,17868,17966,17920,Group 2,Other region
peak_9a,1,18571,18896,18664,Other,Promoter
peak_12,1,27558,27847,27666,Other,Promoter
peak_16,1,36592,36791,36691,Other,Promoter
peak_20,1,44083,44214,44148,Other,Promoter
peak_22,1,44522,44717,44597,Other,Promoter
peak_26,1,49886,50024,49939,Other,Promoter
peak_43a,1,102486,102764,102564,Other,Other region
peak_45b,1,109627,109909,109738,Other,Promoter
peak_48,1,144172,144318,144243,Upregulated,Promoter
peak_50,1,145307,145451,145405,Other,Other region
peak_54,1,157490,157581,157532,Other,Promoter
peak_62,1,172222,172316,172278,Other,Active enhancer
peak_63,1,174792,175008,174857,Group 2,Other region
peak_64,1,179350,179463,179417,Other,Other region
peak_67,1,191967,192193,192083,Other,Promoter
peak_73,1,214136,214398,214238,Other,Active enhancer
peak_74,1,214831,215014,214918,Other,Promoter
peak_79a,1,227177,227686,227229,Other,Promoter
peak_80,1,233647,233730,233688,Other,Other region
peak_83,1,252075,252181,252118,Other,Other region
peak_85,1,259219,259297,259249,Other,Active enhancer
peak_86,1,259823,260076,259960,Other,Promoter
peak_94,1,313187,313330,313251,Other,Other region
peak_98,1,336204,336293,336252,Group 1,Other region
peak_99a,1,337803,338130,337841,Other,Promoter
peak_100,1,338214,338455,338290,Other,Promoter
peak_103a,1,353870,354189,353932,Other,Promoter
peak_108,1,376935,377053,377006,Group 2,Other region
peak_112,1,411265,411520,411398,Other,Promoter
peak_114,1,418828,418949,418870,Other,Promoter
peak_116,1,433694,433808,433753,Other,Other region
peak_117,1,441282,441451,441389,Other,Other region
peak_120,1,458171,458336,458247,Other,Other region
peak_122,1,468524,468637,468573,Other,Other region
peak_125,1,474357,474518,474430,Other,Other region
peak_130,1,494238,494381,494326,Other,Promoter
peak_131,1,494720,494850,494789,Other,Promoter
peak_133,1,506485,506644,506561,Other,Other region
peak_139,1,532264,532400,532341,Upregulated,Promoter
peak_140,1,532715,532878,532795,Other,Promoter
peak_143,1,580017,580178,580061,Other,Promoter
peak_144,1,580617,580715,580671,Other,Promoter
peak_149,1,591181,591280,591232,Other,Other region
peak_150,1,594515,594669,594598,Other,Promoter
peak_155,1,605729,605882,605830,Other,Active enhancer
peak_158,1,614537,614669,614598,Upregulated,Promoter
peak_161,1,640932,641011,640972,Other,Active enhancer
peak_163,1,643687,644011,643806,Group 2,Active enhancer
peak_167,1,651114,651264,651204,Other,Other region
peak_168b,1,655853,656101,656058,Other,Active enhancer
peak_169,1,656743,656904,656847,Other,Promoter
peak_170,1,660641,660763,660709,Other,Other region
peak_171,1,663966,664063,664000,Upregulated,Other region
peak_173,1,669624,669848,669749,Other,Promoter
peak_174,1,671946,672077,672027,Other,Other region
peak_176,1,679727,679903,679825,Other,Other region
peak_178,1,681162,681347,681240,Other,Promoter
peak_179,1,681446,681570,681518,Other,Promoter
peak_180,1,682172,682332,682256,Other,Other region
peak_181,1,684580,684679,684621,Other,Other region
peak_189a,1,713657,714189,713729,Other,Promoter
peak_192,1,731523,731678,731587,Other,Active enhancer
peak_193,1,735111,735337,735198,Other,Other region
peak_201,1,797353,797582,797443,Other,Other region
peak_204a,1,803529,803800,803591,Other,Other region
peak_209,1,847615,847798,847680,Group 1,Other region
peak_210,1,849421,849602,849504,Other,Active enhancer
peak_211,1,849745,849904,849854,Other,Active enhancer
peak_212,1,850064,850181,850134,Other,Active enhancer
peak_218,1,867485,867572,867515,Other,Other region
peak_227c,1,923242,923674,923584,Other,Other region
peak_229,1,946156,946407,946257,Upregulated,Other region
peak_231,1,953659,953838,953735,Other,Other region
peak_233,1,960259,960365,960316,Other,Other region
peak_234,1,961020,961115,961064,Other,Promoter
peak_235,1,961550,961687,961600,Other,Promoter
peak_236,1,973515,973686,973600,Other,Other region
peak_237,1,977372,977541,977463,Other,Other region
peak_239,1,985111,985227,985162,Other,Other region
peak_240,1,1002336,1002464,1002393,Other,Other region
peak_242,1,1005039,1005193,1005117,Other,Active enhancer
peak_245,1,1014361,1014453,1014386,Other,Other region
peak_246,1,1014754,1014908,1014848,Other,Other region
peak_248,1,1029886,1030002,1029942,Other,Active enhancer
peak_251,1,1036937,1037021,1036973,Other,Other region
peak_252,1,1041781,1041916,1041827,Other,Other region
peak_254c,1,1052665,1053327,1053004,Group 2,Other region
peak_257,1,1102731,1102847,1102768,Other,Other region
peak_258b,1,1106151,1106293,1106254,Group 2,Other region
peak_260,1,1109341,1109535,1109436,Other,Other region
peak_267,1,1141847,1142012,1141938,Group 2,Other region
peak_276,1,1196671,1196781,1196720,Other,Other region
peak_279b,1,1214029,1214275,1214205,Group 1,Active enhancer
peak_281,1,1248840,1248954,1248890,Other,Other region
peak_285,1,1263931,1264086,1264031,Other,Other region
peak_288,1,1327239,1327463,1327320,Group 2,Other region
peak_290,1,1350406,1350562,1350506,Group 2,Active enhancer
peak_292b,1,1352649,1353013,1352935,Other,Active enhancer
peak_293,1,1353892,1353977,1353925,Other,Other region
peak_295a,1,1363758,1364100,1363816,Other,Other region
peak_299,1,1377438,1377638,1377521,Other,Other region
peak_304,1,1395401,1395561,1395475,Other,Other region
peak_305,1,1402286,1402423,1402363,Other,Promoter
peak_306,1,1402556,1402805,1402698,Other,Promoter
peak_310,1,1455421,1455625,1455519,Other,Other region
peak_331,1,1581547,1581626,1581586,Other,Other region
peak_332,1,1584710,1584904,1584755,Other,Other region
peak_334,1,1596803,1596922,1596864,Other,Other region
peak_337,1,1604091,1604183,1604131,Other,Other region
peak_342a,1,1626288,1626642,1626364,Group 1,Active enhancer
peak_344b,1,1629259,1629794,1629466,Group 2,Other region
peak_345,1,1635531,1635684,1635621,Other,Other region
peak_348,1,1659294,1659592,1659399,Other,Other region
peak_349a,1,1662408,1662808,1662494,Other,Active enhancer
peak_350,1,1667890,1668113,1668011,Other,Active enhancer
peak_352,1,1708960,1709057,1709007,Other,Other region
peak_354,1,1711985,1712201,1712073,Other,Promoter
peak_355,1,1713446,1713687,1713504,Group 2,Active enhancer
peak_356,1,1713989,1714145,1714070,Group 2,Active enhancer
peak_357,1,1714830,1715015,1714939,Group 2,Active enhancer
peak_358,1,1715636,1715830,1715753,Group 2,Active enhancer
peak_359,1,1716976,1717140,1717042,Group 1,Promoter
peak_364,1,1765987,1766239,1766101,Other,Active enhancer
peak_367,1,1776281,1776407,1776332,Other,Other region
peak_372,1,1885577,1885813,1885691,Other,Promoter
peak_374,1,1924750,1924893,1924806,Other,Other region
peak_378a,1,1941010,1941351,1941079,Other,Promoter
peak_379,1,1943510,1943762,1943580,Group 1,Other region
peak_384,1,1975234,1975363,1975294,Other,Other region
peak_389,1,2019455,2019631,2019552,Other,Other region
peak_391,1,2022012,2022210,2022139,Group 2,Other region
peak_393,1,2033515,2033629,2033576,Other,Other region
peak_394,1,2035508,2035629,2035580,Other,Other region
peak_400a,1,2064628,2065072,2064779,Other,Other region
peak_402,1,2075713,2075816,2075756,Other,Promoter
peak_407,1,2096304,2096470,2096380,Other,Active enhancer
peak_408,1,2101172,2101352,2101269,Other,Promoter
peak_409,1,2101493,2101591,2101530,Other,Promoter
peak_410b,1,2102697,2102979,2102893,Other,Other region
peak_411,1,2112542,2112735,2112620,Upregulated,Promoter
peak_416,1,2170203,2170343,2170258,Other,Other region
peak_423,1,2209553,2209697,2209638,Other,Other region
peak_425,1,2221698,2221977,2221820,Other,Promoter
peak_427,1,2222249,2222400,2222306,Other,Promoter
peak_432b,1,2250616,2251008,2250895,Other,Active enhancer
peak_435,1,2260128,2260486,2260351,Other,Promoter
peak_437,1,2261930,2262187,2262020,Group 2,Active enhancer
peak_438,1,2262568,2262687,2262647,Group 1,Active enhancer
peak_444,1,2283493,2283700,2283568,Other,Other region
peak_447,1,2295981,2296180,2296082,Group 2,Promoter
peak_448,1,2296319,2296554,2296495,Group 2,Promoter
peak_449,1,2297038,2297340,2297215,Group 1,Promoter
peak_450,1,2301826,2301993,2301919,Other,Promoter
peak_451,1,2302199,2302386,2302263,Other,Promoter
peak_452,1,2308339,2308468,2308398,Group 1,Other region
peak_461,1,2369084,2369278,2369185,Group 2,Other region
peak_465,1,2400311,2400457,2400409,Other,Other region
peak_467,1,2419140,2419228,2419186,Other,Other region
peak_470,1,2429351,2429447,2429391,Other,Other region
peak_472,1,2440773,2440899,2440828,Other,Other region
peak_473,1,2449574,2449718,2449616,Group 1,Promoter
peak_474,1,2453139,2453228,2453187,Other,Promoter
peak_477,1,2461883,2462090,2461950,Other,Other region
peak_493,1,2643564,2643691,2643608,Group 1,Other region
peak_498,1,2679060,2679178,2679105,Other,Other region
peak_499,1,2695228,2695316,2695264,Group 1,Other region
peak_500,1,2696708,2696835,2696782,Other,Other region
peak_501,1,2711977,2712186,2712103,Other,Other region
peak_502,1,2712767,2712950,2712824,Upregulated,Promoter
peak_523b,1,2924444,2924719,2924619,Other,Other region
